State,while,(,),{,},||,&&,!,;,i,=,+,-,*,/,n,>,<,==,>=,<=,!=,++,--,break,continue,int,float,true,false,#,A,L,M1,N,C,B,S,E,F,G,ROP,M,
183,,,r32,,,r32,r32,,,,,r32,r32,r32,r32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,,,r21,,,r21,r21,,,,,r21,r21,r21,r21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,,,r34,,,r34,r34,,,,,r34,r34,r34,r34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,,S147,,,,,,,,S155,,,S149,,,S156,,,,,,,S148,S150,,,,,S157,S154,,,,,,,,,,201,153,,,
187,,S147,,,,,,,,S155,,,S149,,,S156,,,,,,,S148,S150,,,,,S157,S154,,,,,,,,,,202,153,,,
188,,S147,,,,,,,,S155,,,S149,,,S156,,,,,,,S148,S150,,,,,S157,S154,,,,,,,,,,,203,,,
189,,S147,,,,,,,,S155,,,S149,,,S156,,,,,,,S148,S150,,,,,S157,S154,,,,,,,,,,,204,,,
190,,,r31,,,r31,r31,,,,,r31,r31,r31,r31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,,,r33,,,r33,r33,,,,,r33,r33,r33,r33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,S208,S1,,,,,,,,S13,,,S3,,,S15,,,,,,,S2,S4,S9,S10,S14,S12,S16,S11,,205,,,,,206,207,,,7,,,
193,,,S209,,,,,,,,,S46,S47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,,,r32,,,,,,,,,r32,r32,r32,r32,,r32,r32,r32,r32,r32,r32,,,,,,,,,,,,,,,,,,,,,,
195,,,r21,,,,,,,,,r21,r21,r21,r21,,r21,r21,r21,r21,r21,r21,,,,,,,,,,,,,,,,,,,,,,
196,,,r34,,,,,,,,,r34,r34,r34,r34,,r34,r34,r34,r34,r34,r34,,,,,,,,,,,,,,,,,,,,,,
